Title,CustomerCode,CustomerNameNormalized,CountryName,CustomerType,IsActive,SortOrder
Medi-pro Suarl,2000574,MEDI PRO SUARL,Tunisia,Distributor,TRUE,100
Mersaco S.a.l.,2000902,MERSACO S A L,Lebanon,Distributor,TRUE,100
Meti Trading Plc,2001270,METI,Ethiopia,Distributor,TRUE,100
Ministry Of Health (sgh) Kuwait,2000029,MINISTRY OF HEALTH SGH KUWAIT,Kuwait,Distributor,TRUE,100
Ministry Of Health And Prevention Dubai,2000026,MINISTRY OF HEALTH AND PREVENTION DUBAI,UAE,Distributor,TRUE,100
Modern Pharmaceutical Llc,2001241,MODERN PHARMACEUTICAL,UAE,Distributor,TRUE,100
Mullege Plc,2000974,MULLEGE,Ethiopia,Distributor,TRUE,100
Munir Sukhtian Group Company,3555557,MUNIR SUKHTIAN,Jordan,Distributor,TRUE,100
Nas Pharma Co. Ltd.,2001314,NAS PHARMA,Sudan,Distributor,TRUE,100
Negadras General Trading Company Plc,2001336,NEGADRAS GENERAL,Ethiopia,Distributor,TRUE,100
Novapharm Trading,2000197,NOVAPHARM,Algeria,Distributor,TRUE,100
Pan Pahrma,2000013,PAN PAHRMA,France,Distributor,TRUE,100
Pharmacie Centrale De Tunisie,2000575,PHARMACIE CENTRALE DE TUNISIE,Tunisia,Distributor,TRUE,100
Pharmacie Centrale Des Hopitaux,2000883,PHARMACIE CENTRALE DES HOPITAUX,Algeria,Distributor,TRUE,100
Pharmacie Centrale Des Hopitaux (pch),2000023,PHARMACIE CENTRALE DES HOPITAUX PCH,Algeria,Distributor,TRUE,100
Pharmaoverseas Trading & Distribution Of,2002109,PHARMAOVERSEAS DISTRIBUTION OF,Egypt,Distributor,TRUE,100
Pharmatic For Trading & Investments,2000201,PHARMATIC FOR INVESTMENTS,Sudan,Distributor,TRUE,100
Rama,2000639,RAMA,Iraq,Distributor,TRUE,100
Ranbaxy Laboratories Limited,2000577,RANBAXY LABORATORIES,Russia,Distributor,TRUE,100
Roots Pharmaceutical Company,2002042,ROOTS PHARMACEUTICAL,Kuwait,Distributor,TRUE,100
Saja Allail Company,2002039,SAJA ALLAIL,Libya,Distributor,TRUE,100
Samt For Medical Supplies,2000012,SAMT FOR MEDICAL SUPPLIES,Libya,Distributor,TRUE,100
Sarl Groupement Pharma. Europeen,2000486,SARL GROUPEMENT PHARMA EUROPEEN,Algeria,Distributor,TRUE,100
Sarl Pharmethic,2000815,SARL PHARMETHIC,Algeria,Distributor,TRUE,100
Sas Company,2000036,SAS,Algeria,Distributor,TRUE,100
Shahdi Ltd.,2000034,SHAHDI,Kazakhstan,Distributor,TRUE,100
Sheikh Khalifa Medical City,4000000,SHEIKH KHALIFA MEDICAL CITY,UAE,Distributor,TRUE,100
Sheker Pharmaceutical And Medical,2000659,SHEKER PHARMACEUTICAL AND MEDICAL,Ethiopia,Distributor,TRUE,100
Société Interpharma,2000196,SOCI T INTERPHARMA,Tunisia,Distributor,TRUE,100
Tabuk Algeria Customer,2000038,TABUK ALGERIA CUSTOMER,Algeria,Distributor,TRUE,100
Tabuk Pharmaceutical Man-egypt,2000728,TABUK PHARMACEUTICAL MAN EGYPT,Egypt,Distributor,TRUE,100
Tabuk Pharmaceuticals Co. Ltd,3555572,TABUK PHARMACEUTICALS,Sudan,Distributor,TRUE,100
Tabuk South Sudan,3555580,TABUK SOUTH SUDAN,Sudan,Distributor,TRUE,100
Tabuk Trading,2000855,TABUK,Egypt,Distributor,TRUE,100
"The Director, Central Medical Stores Adm",3000124,THE DIRECTOR CENTRAL MEDICAL STORES ADM,Kuwait,Distributor,TRUE,100
Theramaf Sarl,2000537,THERAMAF SARL,Algeria,Distributor,TRUE,100
Tracon Trading Plc,2001210,TRACON,Ethiopia,Distributor,TRUE,100
Ufq Kurdistan Company,3000122,UFQ KURDISTAN,Iraq,Distributor,TRUE,100
Ufq Kurdistan Company General Trading,2001350,UFQ KURDISTAN GENERAL,Iraq,Distributor,TRUE,100
Unicare Medical,2002279,UNICARE MEDICAL,UAE,Distributor,TRUE,100
Vecopharm,2000426,VECOPHARM,Algeria,Distributor,TRUE,100
Wellcare Trading Wll,2001256,WELLCARE WLL,Qatar,Distributor,TRUE,100
Zemera Trading Plc,2000981,ZEMERA,Ethiopia,Distributor,TRUE,100
Zenith Pharma,2000022,ZENITH PHARMA,Morocco,Distributor,TRUE,100
Zydus France S.a.s,2000020,ZYDUS FRANCE S A S,France,Distributor,TRUE,100
